Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
Senior Veterinary Surgeon,"Bedfordshire, United Kingdom",,,Vets4Pets,Competitive Salary,"We have an exciting opportunity for a Senior Veterinary Surgeon to join well established, busy, small animal practice based in Dunstable, Bedfordsh..."
Veterinary Surgeon,"Tyne and Wear, United Kingdom",,,Vets4Pets,Competitive Salary,"Veterinary Surgeon Newcastle Kingston Park We have an unmissable opportunity for a Veterinary Surgeon to join our friendly, longstanding team at Ki..."
"Veterinary Surgeon - Tyldesley, Wigan, Greater Manchester","Tyldesley, Manchester",55000,55000,Medivet,"Salary package up to £55,000 dependent on experience","Vet Surgeon - Tyldesley - Wigan, Greater Manchester. Salary up to 55k, full time role"
Internal Medicine Residency,"Derby, Derbyshire",39900,39900,Pride Veterinary Referrals,"Salary up to £39,900 per annum",The Internal Medicine residency program spans three years and is meticulously structured to provide advanced training in Internal Medicine.
Lead Veterinary Surgeon - Tyldesley Vet Centre,"Tyldesley, Manchester",74000,74000,Medivet,"Salary up to £74,000 dependent on experience",Lead Vet Surgeon - Tyldesley - option for Branch Partnership in the future. LV salary up to 74k. Full time role.
"Lead Veterinary Surgeon - Eccleston, Lancashire","Eccleston, Chorley",74000,74000,Medivet,"Salary package up to £74,000 dependent on experience","Lead Vet Surgeon - Eccleston, Lancashire, full time - 4 day week - salary package up to 74k"
"Certificate Holder - Ashton 24 hour, Greater Manchester","Ashton-Under-Lyne, Greater Manchester",66100,66100,Medivet,"Salary & Benefits package up to £66,100 dependent on experience","Certificate Holder - Ashton 24 hour, Greater Manchester, Full Time, Permanent, Salary & Benefits package up to £66,100 dependent on experience."
"Veterinary Surgeon - Knypersley, Staffordshire","Knypersley, Stoke-on-Trent",55000,55000,Medivet,"Up to £55,000 per year","Salary package up to £55,000 per year"
"Veterinary Surgeon - Wath, South Yorkshire","Wath, South Yorkshire",55000,55000,Medivet,"Up to £55,000 per year","Salary package up to £55,000 per year"
Veterinary Surgeon,"Huntingdon, United Kingdom",55000,55000,Cromwell Vets,"£55,000 per annum, Salary up to and depending on experience","Cromwell Vets are a busy 24-hour Primary Care, small animal hospital, RCVS accredited, with 5 branch surgeries and a fabulous physiotherapy/hydrot..."
Veterinary Surgeon,"Ashford, United Kingdom",75000,75000,Cinque Ports Vets,"£75,000 per annum, Up to and dependent on experience","Cinque Ports is an RCVS-Accredited Practice with extensive surgical, diagnostic, and medical facilities across 6 sites in the Kent/ East Sussex ar..."
Graduate Veterinary Surgeon - Graduate Development Programme,"Berkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets Vets for Pets Newbury South is looking for a new or recently graduated veterinary surgeon who really wants to...
Weekend Veterinary Surgeon,"Woodstock, Oxfordshire",,,Medivet,Competitive salary,"Part time Vet Surgeon - Weekend working, flexible and open to what the hours would look like. 24 Hour hospital in Woodstock"
Lead Veterinary Surgeon,"Chertsey, Surrey",80000,80000,Medivet,"Salary package up to £80,000","Full time, 4 day working week, Lead Vet surgeon - salary package up to 80k."
Lead Veterinary Surgeon,"Bracknell, Berkshire",0,80000,Medivet,"Salary package up to £80,000.00",Full-time Lead Veterinary Surgeon at our Harman's Water practice. An opportunity to take ownership and make your own salary up to £80K.
Veterinary Surgeon,"West Byfleet, Surrey",70000,70000,Medivet,"Salary package up to £70,000","Vet Surgeon - West Byfleet, 4 day week, salary up to 70k. Working Alongside Branch Partner Hannah and her team"
Lead Veterinary Surgeon - Newcastle-under-Lyme,"Newcastle-under-Lyme, Staffordshire",60000,75000,Medivet,"£60,000 - £75,000 per year","Salary package £60,000 - £75,000 per year plus Lead vet contribution scheme"
Veterinary Surgeon,"Surbiton, United Kingdom",60000,60000,Vet4Life,"£60,000 per annum, Up to, depending on experience","Vet 4 Life is progressive and forward-thinking. We believe in supporting and investing in our staff, investing in our facilities, and ensuring tha..."
Oncology Specialist,"London, United Kingdom",,,Linnaeus,Attractive Salary plus Benefits,"London Vet Specialists is starting a new chapter with a major expansion and relocation to a new state-of-the-art site in Hammersmith, West London...."
Veterinary Surgeon,"Clacton, Clacton-on-Sea",40000,65000,Haven Veterinary Practice,"Salary between £40,000 to £65,000","Are you interested in working with a friendly and supportive team in an independent practice, which values your ideas and interests? If so read on..."
Lead Veterinary Surgeon - Dearne Valley 24 Hour,"Rotherham, South Yorkshire",60000,75000,Medivet,"£60,000 - £75,000 per year","Salary package £60,000 - £75,000 per year plus Lead vet contribution scheme"
Veterinary Surgeon,"Bracknell, Berkshire",60000,60000,Medivet,"Salary package up to £60,000","Full time Vet Surgeon - Bracknell Easthampstead, salary up to 60k. Working alongside experienced team"
Lead Veterinary Surgeon - School Hours,"Tilehurst, Reading",75000,75000,Medivet,"Salary package up to £75,000",Tilehurst is a lovely practice in a great location. Great opportunity for a Vet to join and take ownership with flexible working options. £75k
Lead Veterinary Surgeon,"Addlestone, Surrey",65000,65000,Medivet,"Salary package up to £65,000 dependent on experience",Great opportunity for a Lead Vet to head up the veterinary surgeons within the team! Salary package up to 65k - full time role - opportunity for Br...
Veterinary Surgeon,"Northern Ireland, United Kingdom",,,Vets4Pets,Competitive Salary,Due to the growth of the practice we have an exciting opportunity for a Veterinary Surgeon to join our well-established close-knit team at Vets4Pet...
"Veterinary Surgeon - Enniskillen, County Fermanagh","Enniskillen, County Fermanagh",40000,72000,Medivet,"£40,000 - £72,000 Per Year","Veterinary surgeon role, great practice and team, competitive salary and CPD opportunities."
"Lead Veterinary Surgeon - Lurgan, County Armagh","Lurgan, County Armagh",60000,75000,Medivet,"£60,000 - £75,000 Per Year","Lead vet role, opportunity to take a step into managing a practice, good support network, competitive salary and CPD opportunities."
"Veterinary Surgeon - Rocester, East Staffordshire","Rocester, Uttoxeter",40000,72000,Medivet,"£40,000 - £72,000 Per Year","Veterinary surgeon, characterful, well-equipped practice, competitive salary, CPD opportunities."
"Veterinary Surgeon - Sherwood, Nottingham","Sherwood, Nottingham",40000,72000,Medivet,"£40,000 - £72,000 Per Year","Vet surgeon role, established practice and team, competitive salary and CPD opportunities."
"Veterinary Surgeon - Horncastle, Lincolnshire","Horncastle, Lincolnshire",40000,72000,Medivet,"£40,000 - £72,000 Per Year","Veterinary surgeon role, great team, competitive salary and CPD opportunities."
"Veterinary Surgeon - Thorpe St.Andrew, Norwich","Norwich, Norfolk",40000,72000,Medivet,"£40,000 - £72,000 Per Year","Part-time veterinary surgeon role, established team and practice, competitive salary, CPD opportunities."
"Exotics Veterinary Surgeon - Horsford, Norwich","Horsford, Norwich",40000,72000,Medivet,"£40,000 - £72,000 Per Year","Exotics vet surgeon role, well equipped hospital environment, excellent benefits package and CPD opportunities."
"Veterinary Surgeon - The Avenues, Hull","Kingston upon Hull, East Riding of Yorkshire",40000,55000,Medivet,"£40,000 - £55,000 per year","£40,000 - £55,000 per year"
Senior Veterinary Surgeon,"West Sussex, United Kingdom",,,Vets4Pets,Competitive Salary,Our friendly small animal practice in Burgess Hill is looking for an enthusiastic and motivated vet with experience to join the team. Burgess Hill...
Veterinary Surgeon,"Redhill, United Kingdom",,,Vets4Pets,Competitive Salary,Join our friendly and supporting practice! Redhill Companion Care is expanding and are looking for an enthusiastic and personable vet to join the t...
Veterinary Surgeon,"Nuneaton, United Kingdom",,,Vets4Pets,Competitive Salary,One of our valued team is sadly leaving us to start her next exciting adventure in the US so we're now looking for a new team member to join our te...
Practice Ownership,"Prenton, Merseyside",,,Vets for Pets,Competitive Salary,Partner with Vets for Pets to own your own Veterinary Practice and have true clinical independence.
Veterinary Surgeon,"Shaw, Oldham",75000,75000,"Crown House Veterinary Surgeons, Oldham","Salary up to £75,000 depending on experience","An opportunity has arisen for a Veterinary Surgeon to join our long-standing team at Crown House Vets, Shaw."
Farm Veterinary Surgeon,"Lewes, East Sussex",,,Cliffe Vets,"Competitive Salary, plus benefits","If you are an experienced vet with enthusiasm for farm work and the ability to work independently, we would love to hear from you!"
Veterinary Surgeon,"Bishopdown, Salisbury",66000,66000,Hampton Park Vets,"Competitive salary up to £66,000 dependent on experience",We are looking for a veterinary surgeon that enjoys being a good small animal vet and loves to build good client relations with a caring nature.
Veterinary Surgeon,"Weymouth, Dorset",65000,65000,Dave Cumber Vets,"Salary up to £65,000 FTE depending on experience",We are looking for a full or part time experienced veterinary surgeon to join our busy and friendly team.
Senior Veterinary Surgeon,"West Sussex, United Kingdom",,,Vets4Pets,Competitive Salary,FULL OR PART TIME SENIOR VETERINARY SURGEON Partnership or Clinical Director opportunities available in the future Burgess Hill Vets for Pets (15 m...
Veterinary Surgeon,"Buckinghamshire, United Kingdom",,,Vets4Pets,Competitive Salary,"You will have access to all of the excellent facilities including an operating theatre, X-ray machine, ultrasound machine and dental machine, as we..."
Graduate Veterinary Surgeon - Graduate Development Programme,"Northamptonshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Our last graduate vet is flying the nest after 4 years! Daventry Vets for Pets is looking...
Veterinary Surgeon,"Worcestershire, United Kingdom",,,Vets4Pets,Competitive Salary,Vets4Pets Droitwich is growing nicely so we are looking for an additional vet who enjoys high clinical standards and likes to work up their cases i...
Graduate Veterinary Surgeon - Graduate Development Programme,"East Midlands, United Kingdom",,,Vets4Pets,Competitive Salary,"Our support, Your Future Get practice ready with Vets for Pets and Companion Care Clifton Vets for Pets are looking for a graduate vet to join thei..."
Veterinary Surgeon,"Cheshire, United Kingdom",,,Vets4Pets,Competitive Salary,Will your next career move be to join our hugely successful team at our Warrington Latchford practice? Our practice is locally owned by Iain Mottra...
Veterinary Surgeon,"Merseyside, United Kingdom",,,Vets4Pets,Competitive Salary,"- Do you wish to achieve a better work-life balance situated on the Wirral peninsula within easy reach of Liverpool, Chester, beaches and Mountains..."
Graduate Veterinary Surgeon - Graduate Development Programme,"North Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Middlesborough Vets for Pets is looking for a new or recently graduated vet to join their...
Veterinary Surgeon,"North Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Veterinary Surgeon, Full or Part time flexible hours, salary up to £60k, consult-only role considered, no OOHs, 1 in 4 Saturdays. Our dedicated and..."
